abstract,aspect-care,care-setting,category,city,community,contract-number,dates,funded-amount,location,organization,principal-investigator,profile_url,status,target-population,technology,title
,Care Coordination;Chronic Disease Management;Improving Care Across Transitions of Care;Quality Measurement/Quality Improvement,,Blanket Purchasing Agreement (BPA) for Support Services,Rockville,,290-09-10014 and P330900421P,,"$160,748",Maryland,Professional and Scientific Associates,"Casale, Cecilia",https://healthit.ahrq.gov/ahrq-funded-projects/reducing-disparities-health-care-quality-priority-populations-approach-focused,Closed,Adults;Asthma;Chronic Care;Diabetes;Low-SES/Low Income;Pediatric;Racial/Ethnic Minorities;Racial/Ethnic Minorities: African American;Racial/Ethnic Minorities: Asian;Racial/Ethnic Minorities: Hispanic Latino;Women;Women: Reproductive Potential,,Reducing Disparities in Health Care Quality for Priority Populations: An Approach Focused on Improving Care in Under-resourced Settings Using Health IT and Other Quality Improvement Strategies (Maryland)
,Chronic Disease Management;Patient Education,Ambulatory;Family Medicine;Internal Medicine;Primary Care,Mentored Clinical Scientist Research Career Development Award (K08),Columbia,Non-rural;Rural,,,"710,527",Missouri,University of Missouri at Columbia,"Koopman, Richelle J.",https://healthit.ahrq.gov/ahrq-funded-projects/patient-readiness-use-internet-health-resources,Closed,Adults;Diabetes,Electronic Medical Record (EMR)/Electronic Health Record (EHR),Patient Readiness to Use Internet Health Resources (Missouri)
,Chronic Disease Management;Medication Management;Patient Education,Ambulatory,Accelerating Change and Transformation in Organizations and Networks (ACTION),Research,Non-rural,290-06-0001-7,,"$399,950",North Carolina,RTI International,"Uhrig, Jennifer",https://healthit.ahrq.gov/ahrq-funded-projects/using-short-message-system-sms-improve-health-care-quality-and-outcomes-among,Closed,Chronic Care;HIV/AIDS;Men,Short Message System (SMS),Using Short Message System (SMS) to Improve Health Care Quality and Outcomes Among HIV-Positive Men (North Carolina)
,Acute Care;Care Coordination;Chronic Disease Management;Medication Management;Patient Education;Prevention;Primary Care;Protected Health Information Data Sharing;Specialty Care,,Accelerating Change and Transformation in Organizations and Networks (ACTION),Santa Monica,,290-06-0017-5,,"$399,894",California,RAND Corporation,"Koppel, Ross",https://healthit.ahrq.gov/ahrq-funded-projects/developing-guide-identifying-and-remediating-unintended-consequences,Closed,,Electronic Medical Record (EMR)/Electronic Health Record (EHR),Developing a Guide to Identifying and Remediating Unintended Consequences of Implementing Health Information Technology (California)
,Prevention;Primary Care,Ambulatory;Family Medicine;Internal Medicine;Primary Care,AHRQ Health Services Research Projects (R01),Indianapolis,Non-rural;Rural,,,"$899,183",Indiana,Indiana University,"Carroll, Aaron",https://healthit.ahrq.gov/ahrq-funded-projects/computer-automated-developmental-surveillance-and-screening,Closed,Children with Special Health Care Needs (CSHCN);Pediatric,Clinical Decision Support (CDS) System,Computer Automated Developmental Surveillance and Screening (Indiana)
,Prevention,Long-Term Care,Accelerating Change and Transformation in Organizations and Networks (ACTION),Cambridge,Non-rural,290-06-0011-8,,"$919,197",Massachusetts,"Abt Associates, Inc.","Hurd, Donna",https://healthit.ahrq.gov/ahrq-funded-projects/evaluation-ahrqs-time-pressure-ulcer-program,Closed,Adults;Elderly,Clinical Decision Support (CDS) System,Evaluation of AHRQ's On-time Pressure Ulcer Program (Massachusetts)
,Patient Education;Prevention,Ambulatory,AHRQ Grants for Health Services Research Dissertation (R36),San Diego,Non-rural,,,"$37,016",California,"University of California, San Diego","Delrahim-Howlett, Katia",https://healthit.ahrq.gov/ahrq-funded-projects/web-based-intervention-alcohol-use-women-childbearing-potential,Closed,Low-SES/Low Income;Women: Reproductive Potential,Personal Health Record (PHR),Web-Based Intervention for Alcohol Use in Women of Childbearing Potential (California)
,Acute Care;Prevention;Quality Measurement/Quality Improvement,Inpatient,Accelerating Change and Transformation in Organizations and Networks (ACTION),Milwaukee,Non-rural,290-06-0016-2,,"$387,369",Wisconsin,Aurora Health Care,"Hook, Mary L.",https://healthit.ahrq.gov/ahrq-funded-projects/using-evidence-based-nursing-practices-and-electronic-health-record-decision,Closed,,Clinical Decision Support (CDS) System;Computerized Provider Order Entry (CPOE);Electronic Medical Record (EMR)/Electronic Health Record (EHR),Using Evidence-Based Nursing Practices and Electronic Health Record Decision Support to Reduce Fall-related Patient Injuries in Acute Care (Wisconsin)
,Medication Management,Ambulatory;Inpatient;Pharmacy,Evidence-based Practice Centers (EPCs),Hamilton,,290-07-100601-5,,"$415,975","Ontario, Canada",McMaster University,"McKibbon, Ann",https://healthit.ahrq.gov/ahrq-funded-projects/enabling-medication-management-through-utilization-health-information,Closed,,Bar Coding;Clinical Decision Support (CDS) System;Computerized Provider Order Entry (CPOE);Devices;Electronic Medical Record (EMR)/Electronic Health Record (EHR);E-Prescribing,"Enabling Medication Management through Utilization of Health Information Technology (Ontario, Canada)"
,Chronic Disease Management,,Inter-Agency Agreement,Bethesda,,09-655F-09,,"$50,000",Maryland,National Institute of Allergy and Infectious Disease,"Togias, Alkis",https://healthit.ahrq.gov/ahrq-funded-projects/asthma-measurement-development-asthma-outcomes-workshop,Closed,Asthma;Chronic Care,,Asthma Measurement Development - Asthma Outcomes Workshop (Maryland)
,Chronic Disease Management,,Blanket Purchasing Agreement (BPA) for Support Services,Reston,,290-09-000027U,,"$153,304",Virginia,Professional and Scientific Associates,"Mullican, Charlotte",https://healthit.ahrq.gov/ahrq-funded-projects/health-information-technology-and-mental-health-way-forward,Closed,Mental Health/Depression,,Health Information Technology and Mental Health: The Way Forward (Virginia)
,Acute Care;Care Coordination;Care Planning;Chronic Disease Management;Improving Care Across Transitions of Care;Medication Management;Patient Education;Prevention;Primary Care;Protected Health Information Data Sharing;Quality Measurement/Quality Improvement;Specialty Care,Ambulatory;Emergency Department (ED)/Emergency Room (ER);Inpatient,Blanket Purchasing Agreement (BPA) for Support Services,Reston,Non-rural;Rural,290-09-00027U,,"$172,893.94",Virginia,Professional and Scientific Associates,"Brennan, Patricia Flatley",https://healthit.ahrq.gov/ahrq-funded-projects/industrial-systems-engineering-and-health-care-critical-areas-research-workshop,Closed,Adults;Men;Pediatric;Women,Clinical Decision Support (CDS) System;Computerized Provider Order Entry (CPOE);Consumer Informatics;Electronic Medical Record (EMR)/Electronic Health Record (EHR);E-Prescribing,Industrial & Systems Engineering and Health Care: Critical Areas of Research Workshop (Virginia)
,Chronic Disease Management;Prevention,Other,Accelerating Change and Transformation in Organizations and Networks (ACTION),Washington,Rural,290-06-0024-2,,"$399,919",District of Columbia,American Association of Homes and Services for the Aged,"Resnick, Helaine",https://healthit.ahrq.gov/ahrq-funded-projects/telemonitoring-rural-elder-nutrition-centers-demonstration-project-hypertension,Closed,Elderly;HIV/AIDS;Low-SES/Low Income,Kiosks;Telehealth Technology,Telemonitoring in Rural Elder Nutrition Centers: Demonstration Project of Hypertension Management (District of Columbia)
,Primary Care;Quality Measurement/Quality Improvement,Ambulatory;Family Medicine;Internal Medicine;Primary Care,Primary Care Practice-Based Research Networks (PBRNs),Denver,Non-rural;Rural,290-07-10008-6,,"$249,876",Colorado,University of Colorado Health Sciences Center,"West, David",https://healthit.ahrq.gov/ahrq-funded-projects/assessing-impact-patient-centered-medical-home-co,Closed,Chronic Care;Chronic Obstructive Pulmonary Disease (COPD);Coronary Artery Disease;Diabetes,,Assessing the Impact of the Patient-Centered Medical Home (PCMH) (Colorado)
,Primary Care;Quality Measurement/Quality Improvement,Ambulatory;Family Medicine;Internal Medicine;Primary Care,Primary Care Practice-Based Research Networks (PBRNs),Minneapolis,Non-rural,290-07-10010-4,,"$249,990",Minnesota,University of Minnesota,"Fontaine, Patricia",https://healthit.ahrq.gov/ahrq-funded-projects/assessing-impact-patient-centered-medical-home-mn,Closed,,,Assessing the Impact of the Patient-Centered Medical Home (Minnesota)
,Patient Education;Prevention,Ambulatory;Family Medicine;Internal Medicine;Primary Care,Accelerating Change and Transformation in Organizations and Networks (ACTION),Boston,Non-rural,290-06-0012-7,,"$399,504",Massachusetts,Boston University,"Jack, Brian",https://healthit.ahrq.gov/ahrq-funded-projects/using-innovative-communication-technology-improve-health-young-african-american,Closed,Racial/Ethnic Minorities;Racial/Ethnic Minorities: African American;Teenagers;Women,Internet;Virtual Patient Advocate,Using Innovative Communication Technology to Improve the Health of Young African American Women (Massachusetts)
,Protected Health Information Data Sharing,,"Planning, Evaluation, and Analysis Task Order Contract (PEATOC)",Columbia,,290-07-10071-5,,"$298,905",Maryland,"IMPAQ International, LLC","Berkowitz, Alicia",https://healthit.ahrq.gov/ahrq-funded-projects/applying-lessons-learned-community-collaboration-health-it,Closed,,Health Information Exchange (HIE)/Regional Health Information Organization (RHIO),Applying Lessons Learned in Community Collaboration to Health IT (Maryland)
,Acute Care;Patient Education;Primary Care,Ambulatory;Family Medicine;Internal Medicine;Primary Care,Primary Care Practice-Based Research Networks (PBRNs),Oklahoma City,Non-rural,290-07-10009-4,,"$100,000",Oklahoma,University of Oklahoma,"Nagykaldi, Zsolt",https://healthit.ahrq.gov/ahrq-funded-projects/stay-home-influenza-toolkit,Closed,Adults,Electronic Medication Administration,Stay-at-Home Influenza Toolkit (Oklahoma)
,Primary Care;Protected Health Information Data Sharing,Ambulatory,Small Grant Program for Conference Support (R13),Davis,Non-rural;Rural,,,"$49,520",California,"University of California, Davis","Marcin, James",https://healthit.ahrq.gov/ahrq-funded-projects/fourth-annual-pediatric-telehealth-colloquium,Closed,Medically Underserved;Pediatric,Telehealth Technology,Fourth Annual Pediatric Telehealth Colloquium (California)
,Acute Care,Emergency Department (ED)/Emergency Room (ER);Inpatient,AHRQ Grants for Health Services Research Dissertation (R36),Minneapolis,Non-rural,,,"$24,863",Minnesota,"University of Minnesota, Twin Cities","Barrette, Eric",https://healthit.ahrq.gov/ahrq-funded-projects/impact-health-information-technology-demand-inpatient-services,Closed,Elderly;Medicare,Clinical Decision Support (CDS) System;Computerized Provider Order Entry (CPOE);Electronic Medical Record (EMR)/Electronic Health Record (EHR),The Impact of Health Information Technology on Demand for Inpatient Services (Minnesota)
,Primary Care,Ambulatory,AHRQ Grants for Health Services Research Dissertation (R36),Coral Gables,Non-rural,,,"$38,075",Florida,University of Miami,"Taha, Jessica Rose",https://healthit.ahrq.gov/ahrq-funded-projects/effects-age-cognition-and-health-literacy-use-patient-emr,Closed,Adults;Elderly;Low Literacy,Personal Health Record (PHR),"The Effects of Age, Cognition, and Health Literacy on Use of a Patient EMR (Florida)"
,Primary Care,Ambulatory;Family Medicine;Internal Medicine;Primary Care,National Resource Center for Health IT (NRC),Princeton,Non-rural;Rural,290-09-00019I-2,,"$1,249,206",New Jersey,"Mathematica Policy Research, Inc.","Peikes, Deborah",https://healthit.ahrq.gov/ahrq-funded-projects/establishing-federal-resources-support-patient-centered-medical-home-concept,Closed,General,Clinical Decision Support (CDS) System,Establishing Federal Resources to Support Patient-Centered Medical Home Concept (New Jersey)
,Prevention,,Blanket Purchasing Agreement (BPA) for Support Services,Reston,,290-09-00032U,,"$64,937",Virginia,Professional and Scientific Associates,"Genevro, Janice",https://healthit.ahrq.gov/ahrq-funded-projects/first-do-no-harm-using-health-information-technology-reduce-use-preventive,Closed,General,Clinical Decision Support (CDS) System,"""First, Do No Harm"": Using Health Information Technology to Reduce Use of Preventive Services with Potential Harms (Virginia)"
,Primary Care,Ambulatory;Family Medicine;Internal Medicine;Primary Care,Primary Care Practice-Based Research Networks (PBRNs),Albuquerque,Non-rural;Rural,290-07-10007-2,,"$496,788",New Mexico,University of New Mexico,"Pavlik, Valory",https://healthit.ahrq.gov/ahrq-funded-projects/evaluation-computer-generated-after-visit-summaries-support-patient-centered,Closed,Adults,Electronic Medical Record (EMR)/Electronic Health Record (EHR),Evaluation of Computer Generated After-Visit Summaries to Support Patient-Centered Care (New Mexico)
,Improving Care Across Transitions of Care;Prevention;Primary Care,Ambulatory;Family Medicine;Internal Medicine;Primary Care,Primary Care Practice-Based Research Networks (PBRNs),Richmond,Non-rural;Rural,290-07-10011-3,,"$499,982",Virginia,Virginia Commonwealth University,"Krist, Alexander H",https://healthit.ahrq.gov/ahrq-funded-projects/using-health-information-technology-improve-health-care-quality-primary-care-va,Closed,Adults,Electronic Medical Record (EMR)/Electronic Health Record (EHR);Personal Health Record (PHR),Using Health Information Technology to Improve Health Care Quality in Primary Care Practices and in Transitions between Care Settings (Virginia)
,Patient Education;Prevention,Ambulatory;Family Medicine;Internal Medicine;Primary Care,Primary Care Practice-Based Research Networks (PBRNs),Philadelphia,Non-rural,290-07-10013-4,,"$500,000",Pennsylvania,The Children's Hospital of Philadelphia Pediatric Research Consortium,"Fiks, Alexander",https://healthit.ahrq.gov/ahrq-funded-projects/give-teens-vaccines-study,Closed,Pediatric;Teenagers,Clinical Decision Support (CDS) System;Electronic Medical Record (EMR)/Electronic Health Record (EHR);Interactive Voice Response (IVR)/Telephony;Internet,The Give Teens Vaccines Study (Pennsylvania)
,Primary Care;Protected Health Information Data Sharing,Ambulatory;Family Medicine;Internal Medicine;Primary Care,Primary Care Practice-Based Research Networks (PBRNs),Oklahoma City,Non-rural;Rural,290-07-10009-5,,"$332,000",Oklahoma,University of Oklahoma Health Sciences Center,"Mold, James",https://healthit.ahrq.gov/ahrq-funded-projects/using-health-information-technology-improve-health-care-quality-primary-care-ok,Closed,General,Electronic Medical Record (EMR)/Electronic Health Record (EHR);Health Information Exchange (HIE)/Regional Health Information Organization (RHIO),Using Health Information Technology to Improve Health Care Quality in Primary Care Practices and in Transitions between Care Settings (Oklahoma)
,Chronic Disease Management;Prevention,,National Resource Center for Health IT (NRC),Washington,,290-09-00022I-2,,"$972,665",District of Columbia,"Thomson Reuters Healthcare, Inc.","Osheroff, Jerry",https://healthit.ahrq.gov/ahrq-funded-projects/structuring-care-recommendations-clinical-decision-support,Closed,,Clinical Decision Support (CDS) System,Structuring Care Recommendations for Clinical Decision Support (District of Columbia)
,Acute Care;Chronic Disease Management;Medication Management;Prevention;Primary Care;Protected Health Information Data Sharing;Specialty Care,,Evidence-based Practice Centers (EPCs),Durham,,290-07-10066-5,,"$404,499",North Carolina,Duke University,"Lobach, David",https://healthit.ahrq.gov/ahrq-funded-projects/enabling-health-care-decisionmaking-through-use-health-information-technology,Closed,,Clinical Decision Support (CDS) System,Enabling Health Care Decisionmaking through the Use of Health Information Technology (North Carolina)
,Acute Care,Inpatient,Maintain and Expand the Healthcare Cost and Utilization Project (HCUP) 2006 - 2011,Santa Barbara,,290-006-0017-5,,"$50,000",California,"Thomson Reuters Healthcare, Inc.","Levit, Katharine",https://healthit.ahrq.gov/ahrq-funded-projects/design-toolkit-add-electronic-clinical-data-statewide-hospital-administrative,Closed,,Electronic Medical Record (EMR)/Electronic Health Record (EHR),Design of a Toolkit to Add Electronic Clinical Data to Statewide Hospital Administrative Claims Data (California)
,Protected Health Information Data Sharing,Ambulatory;Community Health Center;Family Medicine;Federally Qualified Health Center (FQHC);Internal Medicine;Outpatient Clinic;Primary Care,Exploratory and Developmental Grant to Improve Health Care Quality through Health Information Technology (IT) (R21),Raleigh,Non-rural;Rural,,,"$298,712",North Carolina,North Carolina State University Raleigh,"Williams, Laurie Ann",https://healthit.ahrq.gov/ahrq-funded-projects/use-affordable-open-source-systems-rural-and-small-practice-health,Closed,General,Electronic Medical Record (EMR)/Electronic Health Record (EHR),Use of Affordable Open Source Systems by Rural and Small-Practice Health Professionals (North Carolina)
,Medication Management;Prevention;Specialty Care,Long-Term Care,Exploratory and Developmental Grant to Improve Health Care Quality through Health Information Technology (IT) (R21),Tampa,Non-rural,,,"$299,452",Florida,University of South Florida,"Kearns, William D.",https://healthit.ahrq.gov/ahrq-funded-projects/evaluation-and-integration-automatic-fall-prediction-system,Closed,Elderly,Radio Frequency Identification Device,Evaluation and Integration of an Automatic Fall Prediction System (Florida)
,Medication Management,Academic Medical Center;Ambulatory;Family Medicine;Internal Medicine;Primary Care,Small Research Grant to Improve Health Care Quality through Health Information Technology (IT) (R03),Boston,Non-rural,,,"$98,882",Massachusetts,Brigham and Women's Hospital,"Zhou, Li",https://healthit.ahrq.gov/ahrq-funded-projects/improving-outpatient-medication-lists-using-temporal-reasoning-and-clinical,Closed,General,Medication Reconciliation;Natural Language Processing,Improving Outpatient Medication Lists Using Temporal Reasoning and Clinical Texts (Massachusetts)
,Primary Care,Ambulatory;Family Medicine;Internal Medicine;Primary Care,Mentored Research Scientist Research Career Development Award (K01),Salt Lake City,Non-rural,,,"$568,203",Utah,University of Utah,"Del Fiol, Guilherme",https://healthit.ahrq.gov/ahrq-funded-projects/context-aware-knowledge-delivery-electronic-health-records,Closed,Adults,Computerized Provider Order Entry (CPOE);Electronic Medical Record (EMR)/Electronic Health Record (EHR);Health Information Exchange (HIE)/Regional Health Information Organization (RHIO);Personal Health Record (PHR),Context-Aware Knowledge Delivery into Electronic Health Records (Utah)
,Primary Care;Quality Measurement/Quality Improvement,Ambulatory;Community Health Center;Federally Qualified Health Center (FQHC),Utilizing Health Information Technology (IT) to Improve Health Care Quality (R18),Ann Arbor,Non-rural;Rural,,,"$1,199,139",Michigan,University of Michigan at Ann Arbor,"Green, Lee A.",https://healthit.ahrq.gov/ahrq-funded-projects/information-technology-implementation-cognitive-engineering-organizational,Closed,Medically Underserved;Safety Net;Uninsured,Clinical Decision Support (CDS) System;Disease Registries,Information Technology Implementation by Cognitive Engineering of Organizational Routines (Michigan)
,Chronic Disease Management;Quality Measurement/Quality Improvement,Ambulatory;Family Medicine;Federally Qualified Health Center (FQHC);Internal Medicine;Primary Care,Utilizing Health Information Technology (IT) to Improve Health Care Quality (R18),Oakland,Non-rural;Rural,,,"$1,191,633",California,Kaiser Foundation Research Institute,"Hazlehurst, Brian L.",https://healthit.ahrq.gov/ahrq-funded-projects/automating-assessment-obesity-care-quality,Closed,Adults;Obesity,Electronic Medical Record (EMR)/Electronic Health Record (EHR);Natural Language Processing,Automating Assessment of Obesity Care Quality (California)
,Patient Education;Prevention;Primary Care,Ambulatory;Family Medicine;Internal Medicine;Primary Care,Utilizing Health Information Technology (IT) to Improve Health Care Quality (R18),Pittsburgh,Non-rural,,,"$1,177,459",Pennsylvania,University of Pittsburgh at Pittsburgh,"Roberts, Mark Stenius",https://healthit.ahrq.gov/ahrq-funded-projects/self-management-reminders-technology-smart-appraisal-integrated-personal-health,Closed,Adults;Coronary Artery Disease,Personal Health Record (PHR),Self Management & Reminders with Technology: SMART Appraisal of an Integrated Personal Health Record (Pennsylvania)
,Chronic Disease Management;Medication Management,Ambulatory,Exploratory and Developmental Grant to Improve Health Care Quality through Health Information Technology (IT) (R21),Atlanta,Non-rural,,,"$290,271",Georgia,Emory University,"Ziemer, David C.",https://healthit.ahrq.gov/ahrq-funded-projects/computer-assisted-medication-and-patient-information-interface-campii,Closed,Adults;Chronic Care;Diabetes;Racial/Ethnic Minorities: African American,Clinical Decision Support (CDS) System;Computerized Provider Order Entry (CPOE),Computer Assisted Medication and Patient Information Interface (CAMPII) (Georgia)
,Chronic Disease Management;Medication Management,Academic Medical Center;Ambulatory;Family Medicine;Internal Medicine;Primary Care,Utilizing Health Information Technology (IT) to Improve Health Care Quality (R18),Nashville,Non-rural,,,"$1,194,393",Tennessee,Vanderbilt University,"Johnson, Kevin B.",https://healthit.ahrq.gov/ahrq-funded-projects/my-medihealth-paradigm-children-centered-medication-management,Closed,Asthma;Chronic Care;Medicaid;Pediatric;Teenagers,Clinical Decision Support (CDS) System;Health Information Exchange (HIE)/Regional Health Information Organization (RHIO);Natural Language Processing;PDA (Personal Digital Assistant);Personal Health Record (PHR);Secure Messaging,My MediHealth: A Paradigm for Children-Centered Medication Management (Tennessee)
,Chronic Disease Management;Patient Education;Quality Measurement/Quality Improvement,Ambulatory;Community Health Center;Federally Qualified Health Center (FQHC),Utilizing Health Information Technology (IT) to Improve Health Care Quality (R18),Albuquerque,Rural,,,"$1,104,970",New Mexico,University of New Mexico,"Arora, Sanjeev",https://healthit.ahrq.gov/ahrq-funded-projects/project-echo-hepatitis-c-ambulatory-care-quality-improvement-new-mexico-through,Closed,Adults;Chronic Care;Hepatitis C,Clinical Decision Support (CDS) System;Computerized Provider Order Entry (CPOE);Electronic Medical Record (EMR)/Electronic Health Record (EHR);Telehealth Technology,Project ECHO Hepatitis C Ambulatory Care Quality Improvement in New Mexico through Health Information Technology (New Mexico)
,Acute Care;Care Coordination;Chronic Disease Management;Medication Management;Prevention;Protected Health Information Data Sharing;Specialty Care,Home,Department of Health and Human Services Program Support Center (PSC),Washington,,"PSC 233-04-2509XI, TO: 233-70004T",,"$750,000",District of Columbia,National Research Council,"O'Connell, Mary Ellen",https://healthit.ahrq.gov/ahrq-funded-projects/human-factors-home-health-care,Closed,General,,Human Factors in Home Health Care (District of Columbia)
,Improving Care Across Transitions of Care;Medication Management;Quality Measurement/Quality Improvement,Ambulatory;Family Medicine;Internal Medicine;Primary Care,Utilizing Health Information Technology (IT) to Improve Health Care Quality (R18),Indianapolis,Non-rural,,,"$1,172,716",Indiana,Indiana University-Purdue University at Indianapolis,"Weiner, Michael",https://healthit.ahrq.gov/ahrq-funded-projects/medication-reconciliation-improve-quality-transitional-care,Closed,Adults;Safety Net,E-Prescribing;Medication Reconciliation,Medication Reconciliation to Improve Quality of Transitional Care (Indiana)
,Chronic Disease Management;Patient Education;Specialty Care,Home;Specialty Practice,Mentored Clinical Scientist Research Career Development Award (K08),Davis,Non-rural;Rural,,,"$710,390",California,"University of California, Davis","Armstrong, April",https://healthit.ahrq.gov/ahrq-funded-projects/patient-centered-online-care-model-follow-management-atopic-dermatitis,Closed,Adults;Other Conditions: Atopic Dermatitis;Pediatric,Telehealth Technology,Patient-Centered Online Care Model for Follow-Up Management of Atopic Dermatitis (California)
,Improving Care Across Transitions of Care,Inpatient,Mentored Clinical Scientist Research Career Development Award (K08),Indianapolis,Non-rural,,,"$577,554",Indiana,Indiana University,"Were, Martin",https://healthit.ahrq.gov/ahrq-funded-projects/improving-management-test-results-return-after-hospital-discharge,Closed,Adults,Clinical Decision Support (CDS) System;Computerized Provider Order Entry (CPOE);Electronic Medical Record (EMR)/Electronic Health Record (EHR);Secure Messaging,Improving Management of Test Results that Return After Hospital Discharge (Indiana)
,Improving Care Across Transitions of Care;Medication Management;Protected Health Information Data Sharing,Ambulatory;Inpatient,Utilizing Health Information Technology (IT) to Improve Health Care Quality (R18),Pittsburgh,Non-rural,,,"$1,188,912",Pennsylvania,University of Pittsburgh at Pittsburgh,"Smith, Kenneth J.",https://healthit.ahrq.gov/ahrq-funded-projects/virtual-continuity-and-its-impact-complex-hospitalized-patients-care,Closed,Adults,Electronic Medical Record (EMR)/Electronic Health Record (EHR),Virtual Continuity and its Impact on Complex Hospitalized Patients' Care (Pennsylvania)
,Chronic Disease Management;Patient Education;Prevention;Primary Care,Ambulatory;Family Medicine;Internal Medicine;Primary Care,Utilizing Health Information Technology (IT) to Improve Health Care Quality (R18),Pittsburgh,Non-rural,,,"$1,192,048",Pennsylvania,University of Pittsburgh at Pittsburgh,"McTigue, Kathleen M",https://healthit.ahrq.gov/ahrq-funded-projects/online-counseling-enable-lifestyle-focused-obesity-treatment-primary-care,Closed,Adults;Obesity,Telehealth Technology,Online Counseling to Enable Lifestyle-Focused Obesity Treatment in Primary Care (Pennsylvania)
,Primary Care;Quality Measurement/Quality Improvement,Ambulatory;Community Health Center;Family Medicine;Internal Medicine;Primary Care,Utilizing Health Information Technology (IT) to Improve Health Care Quality (R18),New York,Non-rural,,,"$1,197,836",New York,New York City Health and Mental Hygiene,"Parsons, Amanda",https://healthit.ahrq.gov/ahrq-funded-projects/bringing-high-performing-systems-small-practices,Closed,Adults;Inner City;Low-SES/Low Income;Medicaid;Medically Underserved;Safety Net,Clinical Decision Support (CDS) System;Electronic Medical Record (EMR)/Electronic Health Record (EHR),Bringing High Performing Systems to Small Practices (New York)
,Care Coordination;Quality Measurement/Quality Improvement,,Support for Quality Indicators II,Merced,,290-04-0020,,"$400,000",California,Battelle Memorial Institute,"Brustrom, Jennifer",https://healthit.ahrq.gov/ahrq-funded-projects/quality-indicators-care-coordination-measures-project,Closed,,,Quality Indicators Care Coordination Measures Project (California)
,Chronic Disease Management,Ambulatory;Family Medicine;Home;Internal Medicine;Primary Care,Exploratory and Developmental Grant to Improve Health Care Quality through Health Information Technology (IT) (R21),Pawtucket,Non-rural,,,"$297,638",Rhode Island,Memorial Hospital of Rhode Island,"Eaton, Charles B.",https://healthit.ahrq.gov/ahrq-funded-projects/ehealth-blood-pressure-control-program,Closed,Adults;Hypertension;Low Literacy;Medically Underserved;Safety Net,Clinical Decision Support (CDS) System;Electronic Medical Record (EMR)/Electronic Health Record (EHR);Home/Remote Monitoring;Personal Health Record (PHR),eHealth Blood Pressure Control Program (Rhode Island)
,Improving Care Across Transitions of Care;Protected Health Information Data Sharing,Ambulatory;Family Medicine;Inpatient;Internal Medicine;Primary Care,Exploratory and Developmental Grant to Improve Health Care Quality through Health Information Technology (IT) (R21),Boston,Non-rural,,,"$284,648",Massachusetts,Brigham and Women's Hospital,"Dalal, Anuj K.",https://healthit.ahrq.gov/ahrq-funded-projects/automatic-notification-system-test-results-finalized-after-discharge,Closed,General,Electronic Medical Record (EMR)/Electronic Health Record (EHR),An Automatic Notification System for Test Results Finalized after Discharge (Massachusetts)
,Primary Care,Ambulatory;Family Medicine;Internal Medicine;Primary Care,Small Research Grant to Improve Health Care Quality through Health Information Technology (IT) (R03),Dallas,Non-rural;Rural,,,"$99,955",Texas,Baylor Research Institute,"Fleming, Neil Stewart",https://healthit.ahrq.gov/ahrq-funded-projects/impact-health-information-technology-primary-care-workflow-and-financial,Closed,Adults;Pediatric,Clinical Decision Support (CDS) System;Computerized Provider Order Entry (CPOE);Electronic Medical Record (EMR)/Electronic Health Record (EHR),Impact of Health Information Technology on Primary Care Workflow and Financial Measures (Texas)
,Improving Care Across Transitions of Care;Medication Management,Ambulatory;Community Health Center;Family Medicine;Inpatient;Internal Medicine;Primary Care,Small Research Grant to Improve Health Care Quality through Health Information Technology (IT) (R03),New York,Non-rural,,,"$99,998",New York,Columbia University,"Vawdrey, David Kent",https://healthit.ahrq.gov/ahrq-funded-projects/electronic-medication-management,Closed,Inner City;Low-SES/Low Income;Medicaid;Medically Underserved;Racial/Ethnic Minorities;Racial/Ethnic Minorities: Hispanic Latino,Electronic Medical Record (EMR)/Electronic Health Record (EHR);Medication Reconciliation,Electronic Medication Management (New York)
,Acute Care;Patient Education,Ambulatory;Family Medicine;Internal Medicine;Primary Care,Mentored Clinical Scientist Research Career Development Award (K08),Salt Lake City,Non-rural;Rural,,,"$794,564",Utah,University of Utah,"Gesteland, Per",https://healthit.ahrq.gov/ahrq-funded-projects/using-health-information-technology-support-population-based-clinical-practice,Closed,Acute Respiratory Infections;Pediatric,Clinical Decision Support (CDS) System,Using Health Information Technology to Support Population-Based Clinical Practice (Utah)
,Prevention;Protected Health Information Data Sharing;Specialty Care,Ambulatory;Community Health Center;Family Medicine;Internal Medicine;Primary Care,Utilizing Health Information Technology (IT) to Improve Health Care Quality (R18),New York,Non-rural,,,"$1,200,000",New York,Columbia University,"Stockwell, Melissa S.",https://healthit.ahrq.gov/ahrq-funded-projects/flualert-influenza-vaccine-alerts-providers-electronic-health-record,Closed,Inner City;Low-SES/Low Income;Medicaid;Pediatric;Racial/Ethnic Minorities;Racial/Ethnic Minorities: Hispanic Latino;Teenagers,Clinical Decision Support (CDS) System;Electronic Medical Record (EMR)/Electronic Health Record (EHR),FluAlert: Influenza Vaccine Alerts for Providers in the Electronic Health Record (New York)
